
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    [::]:49153             [::]:0                 LISTENING       608
  TCP    [::]:49154             [::]:0                 LISTENING       1052
  TCP    [::]:49155             [::]:0                 LISTENING       788
  TCP    [::]:49164             [::]:0                 LISTENING       840
  TCP    [::1]:49630            [::1]:49631            ESTABLISHED     3108
  TCP    [::1]:49631            [::1]:49630            ESTABLISHED     3108
  TCP    [::1]:50941            [::1]:50942            ESTABLISHED     3108
  TCP    [::1]:50942            [::1]:50941            ESTABLISHED     3108
  TCP    [::1]:53073            [::1]:53074            ESTABLISHED     3108
  TCP    [::1]:53074            [::1]:53073            ESTABLISHED     3108
  TCP    [::1]:53192            [::1]:53193            ESTABLISHED     3108
  TCP    [::1]:53193            [::1]:53192            ESTABLISHED     3108
  TCP    [::1]:53311            [::1]:53312            ESTABLISHED     3108
  TCP    [::1]:53312            [::1]:53311            ESTABLISHED     3108
  TCP    [::1]:53549            [::1]:53550            ESTABLISHED     3108
  TCP    [::1]:53550            [::1]:53549            ESTABLISHED     3108
  TCP    [::1]:53634            [::1]:53635            ESTABLISHED     3108
  TCP    [::1]:53635            [::1]:53634            ESTABLISHED     3108
  TCP    [::1]:53877            [::1]:53878            ESTABLISHED     3108
  TCP    [::1]:53878            [::1]:53877            ESTABLISHED     3108
  TCP    [::1]:54034            [::1]:54035            ESTABLISHED     3108
  TCP    [::1]:54035            [::1]:54034            ESTABLISHED     3108
  TCP    [::1]:54456            [::1]:54457            ESTABLISHED     3108
  TCP    [::1]:54457            [::1]:54456            ESTABLISHED     3108
  TCP    [::1]:54689            [::1]:54690            ESTABLISHED     3108
  TCP    [::1]:54690            [::1]:54689            ESTABLISHED     3108
  TCP    [::1]:56885            [::1]:56886            ESTABLISHED     3108
  TCP    [::1]:56886            [::1]:56885            ESTABLISHED     3108
  TCP    [::1]:57180            [::1]:57181            ESTABLISHED     3108
  TCP    [::1]:57181            [::1]:57180            ESTABLISHED     3108
  TCP    [::1]:57617            [::1]:57618            ESTABLISHED     3108
  TCP    [::1]:57618            [::1]:57617            ESTABLISHED     3108
  TCP    [::1]:58919            [::1]:58920            ESTABLISHED     3108
  TCP    [::1]:58920            [::1]:58919            ESTABLISHED     3108
  TCP    [::1]:59341            [::1]:59342            ESTABLISHED     3108
  TCP    [::1]:59342            [::1]:59341            ESTABLISHED     3108
  TCP    [::1]:59982            [::1]:59983            ESTABLISHED     3108
  TCP    [::1]:59983            [::1]:59982            ESTABLISHED     3108
  TCP    [::1]:62338            [::1]:62339            ESTABLISHED     3108
  TCP    [::1]:62339            [::1]:62338            ESTABLISHED     3108
  TCP    [::1]:62630            [::1]:62631            ESTABLISHED     3108
  TCP    [::1]:62631            [::1]:62630            ESTABLISHED     3108
  TCP    [::1]:62668            [::1]:62669            ESTABLISHED     3108
  TCP    [::1]:62669            [::1]:62668            ESTABLISHED     3108
  TCP    [::1]:63187            [::1]:63188            ESTABLISHED     3108
  TCP    [::1]:63188            [::1]:63187            ESTABLISHED     3108
